title	filepath	directory	class_name	class_idx	global_label
this was all my mommy's idea!	imagenet_images_flickr/n02110341/2041810051.jpg	n02110341	dalmatian	41	153
White Petal Pearl Necklace	imagenet_images_flickr/n03814906/3782658653.jpg	n03814906	necklace	755	83
P3190063	imagenet_images_flickr/n07754684/121555483.jpg	n07754684	jackfruit	324	131
Lone Spoonbill	imagenet_images_flickr/n02006656/2611611659.jpg	n02006656	spoonbill	424	122
Pompa	imagenet_images_flickr/n09229709/3938059843.jpg	n09229709	bubble	992	52
Carousel Ride	imagenet_images_flickr/n02966193/2528667839.jpg	n02966193	carousel	568	178
Bailey's Swim Therapy 1	imagenet_images_flickr/n02106030/170933912.jpg	n02106030	collie	124	84
Familia @ the Railway Club-Drum Machine	imagenet_images_flickr/n03249569/4091378422.jpg	n03249569	drum	336	180
My Favorite Pizza	imagenet_images_flickr/n07873807/1151917.jpg	n07873807	pizza	948	245
127-2713_IMG	imagenet_images_flickr/n01871265/229757981.jpg	n01871265	tusker	214	142
Rapeseed Flowers	imagenet_images_flickr/n11879895/2375946109.jpg	n11879895	rapeseed	330	114
John Deere tractor in London	imagenet_images_flickr/n04465501/305655790.jpg	n04465501	tractor	289	155
246- Outdoor Gondola Rides	imagenet_images_flickr/n03447447/304037492.jpg	n03447447	gondola	236	74
DSC07871	imagenet_images_flickr/n02129604/1523542634.jpg	n02129604	tiger	76	139
Picot Edge Stripey Sock Complete 1	imagenet_images_flickr/n04254777/2382896747.jpg	n04254777	sock	986	15
Sheringham Point Lighthouse	imagenet_images_flickr/n02814860/2126513398.jpg	n02814860	beacon	733	5
Gardenia Teapot	imagenet_images_flickr/n04398044/13890693.jpg	n04398044	teapot	675	230
lord of the junco	imagenet_images_flickr/n01534433/2078453685.jpg	n01534433	junco	389	51
Ananas	imagenet_images_flickr/n07753275/164304529.jpg	n07753275	pineapple	322	220
Castle Duart, Isle of Mull	imagenet_images_flickr/n02980441/1417772057.jpg	n02980441	castle	701	129
Ant	imagenet_images_flickr/n02219486/151864684.jpg	n02219486	ant	224	137
Conciergerie - Spiral Staircase	imagenet_images_flickr/n03065424/3098679306.jpg	n03065424	coil	698	17
Sunset Eruption, Great Fountain Geyser	imagenet_images_flickr/n09288635/3706374248.jpg	n09288635	geyser	368	229
Jackfruit	imagenet_images_flickr/n07754684/3464900828.jpg	n07754684	jackfruit	324	131
